"";"SetPointId";"ServingTeamName";"ReceivingTeamName";"WinningTeamServingCode";"ServingRotation";"ReceivingRotation";"ServingPlayerId";"GameStageDetail";"RatingService";"MarkovCoefLastTouchSideout"
"6676";"S129219_1H6V2";"Kladno";"Ostrava";"R";5;6;4449;"RegularGame";36,928840872093;1
"6677";"S129219_1H6V3";"Ostrava";"Kladno";"R";5;5;4329;"RegularGame";33,870821697417;1
"6678";"S129219_1H7V3";"Kladno";"Ostrava";"R";4;5;4318;"RegularGame";35,6473187586207;0,6273647
"6679";"S129219_1H7V4";"Ostrava";"Kladno";"R";4;4;4322;"RegularGame";36,605235359116;1
"6680";"S129219_1H8V4";"Kladno";"Ostrava";"R";3;4;4443;"RegularGame";35,4042121759259;1
"6681";"S129219_1H8V5";"Ostrava";"Kladno";"R";3;3;4323;"RegularGame";35,178943869863;NA
"6682";"S129219_1H9V5";"Kladno";"Ostrava";"R";2;3;4437;"RegularGame";32,8818041071428;NA
"6683";"S129219_1H9V6";"Ostrava";"Kladno";"R";2;2;4507;"RegularGame";34,3557433227848;1
"6684";"S129219_1H10V6";"Kladno";"Ostrava";"R";1;2;4344;"RegularGame";37,6329701977401;1
"6685";"S129219_1H10V7";"Ostrava";"Kladno";"S";1;1;4321;"RegularGame";33,975641122807;0
"6686";"S129219_1H10V8";"Ostrava";"Kladno";"R";1;1;4321;"RegularGame";33,975641122807;1
"6687";"S129219_1H11V8";"Kladno";"Ostrava";"S";6;1;4445;"RegularGame";34,9852440199335;0,4128309
"6688";"S129219_1H12V8";"Kladno";"Ostrava";"R";6;1;4445;"RegularGame";34,9852440199335;1
"6689";"S129219_1H12V9";"Ostrava";"Kladno";"R";6;6;4508;"RegularGame";31,5618958510638;1
"6690";"S129219_1H13V9";"Kladno";"Ostrava";"R";5;6;4449;"RegularGame";36,928840872093;0,4128309
"6691";"S129219_1H13V10";"Ostrava";"Kladno";"S";5;5;4329;"RegularGame";33,870821697417;0
"6692";"S129219_1H13V11";"Ostrava";"Kladno";"R";5;5;4329;"RegularGame";33,870821697417;1
